Country,Area,Population,Density
Democratic Republic of the Congo,"905,446","86,790,567",96
Mozambique,"308,642","28,571,310",93
Venezuela,"353,841","32,219,521",91
Faroe Islands (Denmark),540,"50,844",88
United States,"3,796,742","329,510,802",87
Kyrgyzstan,"77,199","6,309,300",83
Latvia,"24,928","1,910,400",78
Estonia,"17,505","1,324,820",75
Eritrea,"46,757","3,497,117",75
Bahamas,"5,382","386,870",73
Abkhazia,"3,344","243,206",73
Laos,"91,429","6,492,400",70
Saint Pierre and Miquelon (France),"2,605","6,081",65
Peru,"496,225","32,162,184",65
Vanuatu,"4,742","304,500",65
Brazil,"3,287,956","211,301,409",64
Somalia,"246,201","15,181,925",62
Solomon Islands,"10,954","682,500",62
Angola,"481,354","29,250,009",60
Chile,"291,930","17,373,831",60
Sweden,"173,860","10,367,805",60
Zambia,"290,585","16,405,229",57
Sudan,"710,251","40,782,742",57
Bhutan,"14,824","824,400",56
Uruguay[note 5][clarification needed],"68,037","3,518,553",52
South Sudan,"248,777","12,778,250",52
Somaliland,"68,000","3,508,180",52
Åland Islands (Finland),599,"29,789",49
Niger,"458,075","22,314,743",49
Papua New Guinea,"178,704","8,935,000",49
New Zealand,"104,428","4,972,974",48
Algeria,"919,595","43,000,000",47
Paraguay,"157,048","7,052,983",44
Belize,"8,867","398,050",44
Norway,"125,023","5,367,580",44
Finland,"130,666","5,527,405",41
Argentina,"1,073,518","44,938,712",41
Saudi Arabia,"830,000","34,218,169",41
Republic of the Congo,"132,047","5,399,895",41
Mali,"482,077","19,107,706",39
Christmas Island (Australia),53,"2,072",39
New Caledonia (France),"7,172","258,958",36
Oman,"119,499","4,183,841",36
"Saint Helena, Ascension and Tristan da Cunha (UK)",152,"5,633",36
South Ossetia,"1,506","53,532",36
Artsakh,"4,424","150,932",34
Turkmenistan,"189,657","5,851,466",31
Chad,"495,755","15,353,184",31
Bolivia,"424,164","11,307,314",26
Russia[note 6],"6,612,093","146,877,088",23
Gabon,"103,347","2,067,561",21
Central African Republic,"240,324","4,737,423",21
Kazakhstan,"1,052,090","18,592,700",18
Niue (NZ),101,"1,613",16
Botswana,"224,607","2,302,878",10.4
Mauritania,"397,955","3,984,233",10.4
Canada,"3,855,103","37,969,736",10
Libya,"683,424","6,470,956",9.6
Guyana,"83,012","782,225",9.3
Suriname,"63,251","568,301",9.1
Iceland,"39,682","360,390",9.1
Australia,"2,969,907","25,657,109",9
Namibia,"318,580","2,413,643",7.5
French Guiana (France),"33,399","244,118",7.3
Western Sahara[note 7],"97,344","567,421",6
Mongolia,"603,902","3,000,000",4.9
Pitcairn Islands (UK),18,56,3.1
Falkland Islands (UK)[note 8],"4,700","2,563",0.54
Svalbard and Jan Mayen (Norway),"23,706","2,655",0.1
Greenland (Denmark),"836,297","55,877",0.08
